rank,order_idx,tag,contract_ticker,etf,contract_title,has_result,n_sig,best_p,n_trades,has_zoom,zoom_bar
1,14,14_KXECKH276_VOX,KXECKH276,VOX,"Will Harris win 276-262 - PA, NV, MI, WI?",True,6,5.069013252703943e-27,37,True,10min
2,29,29_KXECDJT281_VNQ,KXECDJT281,VNQ,"Will Trump win 281-257 - AZ, GA, NC, PA?",True,6,2.3947940985411234e-23,294,True,5min
3,39,39_KXECDJT281_VGT,KXECDJT281,VGT,"Will Trump win 281-257 - AZ, GA, NC, PA?",True,5,1.7995938160086638e-25,294,True,5min
4,18,18_KXECKH276_VDC,KXECKH276,VDC,"Will Harris win 276-262 - PA, NV, MI, WI?",True,3,1.9747328571323266e-146,37,True,10min
5,1,01_KXECKH276_VFH,KXECKH276,VFH,"Will Harris win 276-262 - PA, NV, MI, WI?",True,3,2.146046678450113e-136,37,True,10min
6,15,15_KXECKH276_VGT,KXECKH276,VGT,"Will Harris win 276-262 - PA, NV, MI, WI?",True,3,2.0697528048766404e-23,37,True,10min
7,37,37_KXECDJT306_VDC,KXECDJT306,VDC,"Will Trump win 306-232 - AZ, GA, MI, PA, WI, NC?",True,3,2.548958136833774e-09,108,True,5min
8,36,36_KXECDJT281_VOX,KXECDJT281,VOX,"Will Trump win 281-257 - AZ, GA, NC, PA?",True,3,7.084330641581357e-05,294,True,5min
9,41,41_KXECDJT281_VCR,KXECDJT281,VCR,"Will Trump win 281-257 - AZ, GA, NC, PA?",True,2,0.0,294,True,5min
10,10,10_KXECKH276_VDE,KXECKH276,VDE,"Will Harris win 276-262 - PA, NV, MI, WI?",True,2,1.1338977408255185e-307,37,True,10min
11,3,03_KXECKH276_VIS,KXECKH276,VIS,"Will Harris win 276-262 - PA, NV, MI, WI?",True,2,2.1630278336444639e-41,37,True,10min
12,20,20_KXECDJT316_VIS,KXECDJT316,VIS,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?",True,2,1.371928658617507e-05,51,True,10min
13,26,26_KXECKH276_VAW,KXECKH276,VAW,"Will Harris win 276-262 - PA, NV, MI, WI?",True,2,9.051755216524604e-05,37,True,10min
14,8,08_KXECKH276_VCR,KXECKH276,VCR,"Will Harris win 276-262 - PA, NV, MI, WI?",True,1,0.0,37,True,10min
15,2,02_KXECDJT316_VFH,KXECDJT316,VFH,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?",True,1,0.0002162365764923,51,True,10min
16,30,30_FEDDECISION-24SEP-C25_VOX,FEDDECISION-24SEP-C25,VOX,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?,True,1,0.0143162456179052,1110,True,1min
17,31,31_FEDDECISION-24SEP-C25_VPU,FEDDECISION-24SEP-C25,VPU,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?,True,0,0.0744180753552818,1110,True,1min
18,47,47_KXFEDDECISION-24DEC-C25_VIS,KXFEDDECISION-24DEC-C25,VIS,Will the Federal Reserve Cut rates by 25bps at their December 2024 meeting?,True,0,0.1928092013093767,2260,False,
19,40,40_KXECDJT312_VAW,KXECDJT312,VAW,Will Trump win 312-226 - swing state sweep?,True,0,0.2493677266581768,204,True,10min
20,42,42_KXFEDDECISION-24DEC-C25_VFH,KXFEDDECISION-24DEC-C25,VFH,Will the Federal Reserve Cut rates by 25bps at their December 2024 meeting?,True,0,0.3097183178789507,2260,False,
21,48,48_KXFEDDECISION-24DEC-H0_VGT,KXFEDDECISION-24DEC-H0,VGT,Will the Federal Reserve Hike rates by 0bps at their December 2024 meeting?,True,0,0.4030284547810785,1326,False,
22,46,46_FEDDECISION-24NOV-H0_VNQ,FEDDECISION-24NOV-H0,VNQ,Will the Federal Reserve Hike rates by 0bps at their November 2024 meeting?,True,0,0.5516245996355589,401,False,
23,45,45_FEDDECISION-24NOV-H0_VDE,FEDDECISION-24NOV-H0,VDE,Will the Federal Reserve Hike rates by 0bps at their November 2024 meeting?,True,0,0.5585363451567854,401,False,
24,9,09_FEDDECISION-24SEP-C25_VDC,FEDDECISION-24SEP-C25,VDC,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?,True,0,0.6025245480471763,1110,True,1min
25,21,21_KXECDJT316_VDE,KXECDJT316,VDE,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?",True,0,0.9852205834494568,51,True,10min
26,33,33_KX538APPROVEMIN-24NOV30-T37_VFH,KX538APPROVEMIN-24NOV30-T37,VFH,"Will the President's approval rating ever get below 37% by Nov 30, 2024?",False,0,,49,False,
27,38,38_KX538APPROVEMIN-24NOV30-T37_VNQ,KX538APPROVEMIN-24NOV30-T37,VNQ,"Will the President's approval rating ever get below 37% by Nov 30, 2024?",False,0,,49,False,
28,6,06_RATECUT-24SEP18_VCR,RATECUT-24SEP18,VCR,"Will the Federal Reserve cut rates before September 19, 2024?",False,0,,40,False,
29,24,24_RATECUT-24SEP18_VOX,RATECUT-24SEP18,VOX,"Will the Federal Reserve cut rates before September 19, 2024?",False,0,,40,False,
30,32,32_RATECUT-24SEP18_VGT,RATECUT-24SEP18,VGT,"Will the Federal Reserve cut rates before September 19, 2024?",False,0,,40,False,
31,44,44_AAAGASM-24OCT31-US-3.15_VPU,AAAGASM-24OCT31-US-3.15,VPU,Will average **gas prices** be above $3.15?,False,0,,37,True,10min
32,7,07_KXECKH287_VNQ,KXECKH287,VNQ,"Will Harris win 287-251 - PA, NV, MI, WI, AZ?",False,0,,33,True,10min
33,19,19_AAAGASM-24OCT31-US-3.20_VHT,AAAGASM-24OCT31-US-3.20,VHT,Will average **gas prices** be above $3.20?,False,0,,30,True,10min
34,11,11_AAAGASM-24SEP30-US-3.15_VIS,AAAGASM-24SEP30-US-3.15,VIS,Will average **gas prices** be above $3.15?,False,0,,18,True,10min
35,12,12_AAAGASM-24SEP30-US-3.15_VGT,AAAGASM-24SEP30-US-3.15,VGT,Will average **gas prices** be above $3.15?,False,0,,18,True,10min
36,17,17_AAAGASM-24SEP30-US-3.15_VAW,AAAGASM-24SEP30-US-3.15,VAW,Will average **gas prices** be above $3.15?,False,0,,18,True,10min
37,25,25_AAAGASM-24SEP30-US-3.15_VCR,AAAGASM-24SEP30-US-3.15,VCR,Will average **gas prices** be above $3.15?,False,0,,18,True,10min
38,27,27_AAAGASM-24SEP30-US-3.15_VOX,AAAGASM-24SEP30-US-3.15,VOX,Will average **gas prices** be above $3.15?,False,0,,18,True,10min
39,28,28_538APPROVEMAX-24SEP30-T43_VAW,538APPROVEMAX-24SEP30-T43,VAW,"Will the President's approval rating ever get above 43% by Sep 30, 2024?",False,0,,17,True,2min
40,35,35_538APPROVEMAX-24SEP30-T43_VIS,538APPROVEMAX-24SEP30-T43,VIS,"Will the President's approval rating ever get above 43% by Sep 30, 2024?",False,0,,17,True,2min
41,43,43_538APPROVEMAX-24SEP30-T43_VCR,538APPROVEMAX-24SEP30-T43,VCR,"Will the President's approval rating ever get above 43% by Sep 30, 2024?",False,0,,17,True,2min
42,23,23_KX538APPROVEMAX-24NOV30-T41_VGT,KX538APPROVEMAX-24NOV30-T41,VGT,"Will the President's approval rating ever get above 41% by Nov 30, 2024?",False,0,,13,False,
43,34,34_KX538APPROVEMAX-24NOV30-T41_VHT,KX538APPROVEMAX-24NOV30-T41,VHT,"Will the President's approval rating ever get above 41% by Nov 30, 2024?",False,0,,13,False,
44,5,05_KXAAAGASM-24NOV30-US-3.30_VFH,KXAAAGASM-24NOV30-US-3.30,VFH,Will average **gas prices** be above $3.30?,False,0,,7,True,10min
45,13,13_KXAAAGASM-24NOV30-US-3.30_VDE,KXAAAGASM-24NOV30-US-3.30,VDE,Will average **gas prices** be above $3.30?,False,0,,7,True,10min
46,16,16_KXAAAGASM-24NOV30-US-3.30_VDC,KXAAAGASM-24NOV30-US-3.30,VDC,Will average **gas prices** be above $3.30?,False,0,,7,True,10min
47,22,22_KXAAAGASM-24NOV30-US-3.30_VNQ,KXAAAGASM-24NOV30-US-3.30,VNQ,Will average **gas prices** be above $3.30?,False,0,,7,True,10min
48,4,04_538APPROVEMAX-24OCT31-T43_VOX,538APPROVEMAX-24OCT31-T43,VOX,"Will the President's approval rating ever get above 43% by Oct 31, 2024?",False,0,,4,True,10min
